activity,legal_status
running a red light at an intersection at 2 a.m. when no other cars are present,illegal
making a U-turn on a residential street where no sign prohibits it,legal
driving 55 mph in a clearly posted 35 mph school zone,illegal
wearing a seatbelt while driving on a public highway,legal
a company submitting falsified revenue figures in an SEC quarterly earnings report,illegal
an individual opening a high-yield savings account at an FDIC-insured bank,legal
deliberately writing a check knowing the account has insufficient funds to cover it,illegal
a financial adviser disclosing all fees and conflicts of interest to a client in writing,legal
operating a Ponzi scheme that promises guaranteed 30% annual returns to investors,illegal
purchasing shares of a publicly traded company through a licensed brokerage account,legal
possessing heroin with intent to distribute in any U.S. federal jurisdiction,illegal
a licensed pharmacist dispensing a Schedule II prescription drug with a valid doctor's prescription,legal
manufacturing methamphetamine in a home laboratory,illegal
a researcher obtaining and studying a Schedule I substance under a valid DEA research license,legal
selling counterfeit prescription opioids falsely labeled as legitimate pharmaceuticals,illegal
a software developer releasing original code under a Creative Commons open-source license,legal
reproducing and selling physical copies of a copyrighted novel without the publisher's permission,illegal
quoting three sentences from a published book in an academic paper with proper citation,legal
a company deliberately uploading a competitor's entire copyrighted training video to its own website,illegal
a musician registering an original composition with the U.S. Copyright Office,legal
a hedge fund manager trading stocks based on confidential merger information obtained from a board member,illegal
an employer paying tipped workers below minimum wage without tips making up the difference,illegal
streaming a newly released film using a subscription to a licensed platform like Netflix,legal
a company classifying full-time workers as independent contractors to avoid paying benefits,illegal
a pharmacist substituting a generic FDA-approved equivalent when a prescription permits substitution,legal
"an employer providing a written employment contract that outlines salary, hours, and termination conditions",legal
uploading a full copyrighted feature film to a public torrent site without authorization,illegal
a business owner laundering drug proceeds through a cash-heavy restaurant by inflating reported sales,illegal
a union organizing a collective bargaining session with management over wage increases,legal
purchasing cannabis from a state-licensed dispensary in a state where recreational cannabis is legal,legal
a record label sampling 30 seconds of a copyrighted song without a license or fair use justification,illegal
filing a trademark application for an original brand name with the USPTO,legal
an employer firing a worker for organizing a union vote among colleagues,illegal
a company paying all employees at least the applicable federal minimum wage of $7.25 per hour,legal
submitting a fraudulent unemployment insurance claim after voluntarily quitting a job,illegal
a librarian lending a purchased physical book to a patron,legal
a doctor accepting cash payments from a pharmaceutical company in exchange for prescribing its drugs,illegal
a freelance writer negotiating and signing a work-for-hire contract that transfers copyright to the client,legal
transporting MDMA across state lines for personal use,illegal
a landlord entering a tenant's rented apartment without notice or consent to inspect it,illegal
an employee working more than 40 hours in a week and receiving 1.5x pay for overtime,legal
a pharmaceutical company patenting a newly developed drug compound with the uspto,legal
a property owner building a fence entirely within their own surveyed property boundaries,legal
an employer requiring female employees to retire at age 55 while male employees retire at 65,illegal
a tenant withholding all rent payments because they dislike the landlord personally,illegal
a software company reverse-engineering a competitor's product solely to achieve interoperability,legal
selling homegrown psilocybin mushrooms to strangers at a farmers market,illegal
a homeowner selling their own property without using a real estate agent,legal
an employer deducting wages below minimum wage to recover the cost of a broken tool,illegal
a teacher photocopying an entire commercially published textbook for each student to avoid purchasing copies,illegal
a company registering a domain name that is identical to a famous brand's trademark to resell it,illegal
a landlord refusing to rent an apartment to a family because they have children,illegal
an author registering a pen name as a trademark for use on a series of published books,legal
a construction company dumping regulated asbestos waste in an unlicensed municipal landfill,illegal
an employer providing 12 weeks of unpaid family leave to a qualifying employee under fmla,legal
a nursing home administrator diverting residents' prescribed opioid medications for personal use,illegal
a journalist publishing a factual news article that quotes from a public government report,legal
a squatter occupying an abandoned property without permission from the registered owner,illegal
a graphic designer creating and selling original artwork as nft tokens on a digital marketplace,legal
an employee posting a negative but truthful review of a former employer on glassdoor,legal
a software company embedding hidden malware in a free app to harvest users' passwords,illegal
a landlord increasing rent by 10% upon lease renewal in a city without rent control,legal
an employer refusing to hire a job applicant solely because she is pregnant,illegal
a web developer copying the entire source code of a competitor's website and republishing it,illegal
a photographer licensing their original photos to a stock image website for commercial use,legal
an employer requiring all job applicants to disclose their salary history in a state that bans the practice,illegal
a company sending unsolicited commercial emails without an unsubscribe option in violation of can-spam,illegal
