activity,ethical_status
telling a friend their business plan has serious financial flaws,ethical
fabricating customer testimonials for a product's online store page,unethical
a doctor disclosing a terminal diagnosis honestly to the patient,ethical
a factory dumping chemical waste into a nearby river,unethical
an accountant quietly correcting a billing error that favoured their firm,ethical
a pharmaceutical company hiding adverse trial data to gain drug approval,unethical
a nurse reporting a colleague observed administering incorrect medication doses,ethical
a corporation bribing local officials to bypass environmental impact assessments,unethical
a researcher properly attributing ideas taken from a colleague's unpublished work,ethical
a surgeon performing an elective procedure on a patient who refused consent,unethical
a company voluntarily recalling a product after discovering a safety defect,ethical
an employer lying to a reference check about a former employee's misconduct,unethical
a landscaping firm switching to non-toxic pesticides to protect local pollinators,ethical
a therapist sharing a patient's confidential disclosures with the patient's employer,unethical
a manager honestly telling an employee why they were passed over for promotion,ethical
an oil company falsifying emissions reports submitted to regulators,unethical
a pharmacist flagging a dangerous drug interaction before filling a prescription,ethical
a salesperson deliberately hiding known structural defects when selling a house,unethical
a city government planting trees to offset emissions from a new transit project,ethical
a medical researcher fabricating data in a published clinical trial,unethical
an AI company training models on copyrighted data without permission or compensation,unethical
a software engineer reporting a critical security vulnerability through proper disclosure channels,ethical
a hospital administrator falsifying patient wait-time statistics reported to accreditation bodies,unethical
a financial advisor recommending high-fee products solely because they earn higher commissions,unethical
a tech firm anonymising user data before sharing it with third-party researchers,ethical
a mining company restoring land to its original condition after extraction operations conclude,ethical
a doctor performing an experimental treatment on an unconscious patient without prior consent,unethical
a corporation using algorithm-driven pricing to exploit customers during a natural disaster,unethical
an engineer publicly disclosing that a client's building design has a life-safety flaw,ethical
a tech company deploying facial recognition on employees without informing them,unethical
a manufacturer publicly publishing full environmental impact data for its supply chain,ethical
a psychiatrist disclosing a patient's suicidal plan to emergency services to prevent harm,ethical
a pesticide company ghostwriting academic studies that downplay its product's ecological harm,unethical
an auditor refusing a client's request to overlook a material financial misstatement,ethical
a recruiter sharing candidates' private salary expectations with competing employers,unethical
a hospital providing free post-operative follow-up care to uninsured low-income patients,ethical
an AI developer deliberately embedding racial bias into a hiring-screening algorithm,unethical
a logistics firm switching its entire delivery fleet to zero-emission electric vehicles,ethical
a nurse obtaining a sedated patient's signature on consent forms without explanation,unethical
a law firm pro bono representing an wrongfully convicted prisoner seeking exoneration,ethical
a government deleting air quality monitoring data before a public hearing,unethical
a city publishing real-time pollution levels openly on a public dashboard,ethical
an AI company releasing a detailed transparency report on model failure rates,ethical
a social media platform secretly manipulating users' feeds to influence election outcomes,unethical
a physician obtaining fully informed consent before enrolling a patient in a clinical trial,ethical
a corporation lobbying legislators using fabricated public health statistics,unethical
a nurse administering a placebo while telling the patient it is active medication,unethical
"a voter advocacy group providing free, accurate registration assistance to underserved communities",ethical
a tech company deploying an AI surveillance tool to track political dissidents,unethical
a wildlife conservation NGO transparently reporting how donated funds are spent,ethical
a chemical plant knowingly releasing toxic effluent exceeding permitted limits at night,unethical
